effect_id,ingredient_id
000ae722,00052695
000ae722,FE001804
000ae722,0403cd8e
000ae722,000e7ed0
000ae722,FE00180C
000ae722,050008F2
000ae722,0006bc00
000ae722,FE001817
000ae722,FE00181C
000ae722,050008F3
000ae722,0003ad76
000ae722,FE001824
00109add,FE001836
00109add,FE001D68
00109add,FE00180C
00109add,FE00180F
00109add,FE001818
00109add,FE001819
00109add,FE00181C
0003eb42,FE001838
0003eb42,FE001805
0003eb42,000b701a
0003eb42,000516c8
0003eb42,0003ad63
0003eb42,0401ff75
0003eb42,0003ad5d
0003eb42,FE001829
0003eb42,FE00182C
0003eb42,001016b3
0003eb42,000b18cd
0003eb42,FE00180F
0003eb42,0004da23
0003eb42,0002f44c
0003eb42,00059b86
0003eb42,020185fb
0003eb42,00077e1d
0003eb42,FE001818
0003eb42,00106e1a
0003eb42,FE00181B
0003eb42,0003ad6f
0003eb42,0006bc0b
0003eb42,0003ad72
0003eb42,0003ad60
0003eb42,FE001823
0003a2b6,FE001D68
0003a2b6,000727e0
0003a2b6,0003ad56
0003a2b6,FE001804
0003a2b6,0003ad5b
0003a2b6,0006bc07
0003a2b6,0003ad73
0003a2b6,0003ad66
0003a2b6,00057f91
0003a2b6,000b18cd
0003a2b6,000727df
0003a2b6,0004da24
0003a2b6,0007edf5
0003a2b6,04017008
00073f2b,020059ba
00073f2b,0006bc02
00073f2b,000727de
00073f2b,00077e1c
00073f2b,0401cd6e
00073f2b,020183b7
00073f2b,00023d77
00073f2b,FE001826
00073f2b,0003ad73
00073f2b,00057f91
00073f2b,0300f1cc
00073f2b,000b18cd
00073f2b,FE001815
00073f2b,0002f44c
00073f2b,050008ED
00073f2b,FE00181B
00073f2b,0009151b
00073f2b,00063b5f
0003a2c6,020059ba
0003a2c6,0401cd74
0003a2c6,0004da25
0003a2c6,000727de
0003a2c6,FE001D6C
0003a2c6,00034cdd
0003a2c6,0006abcb
0003a2c6,020183b7
0003a2c6,FE001806
0003a2c6,000b701a
0003a2c6,00106e19
0003a2c6,0003ad64
0003a2c6,FE001814
0003a2c6,00059b86
0003a2c6,0007e8c8
0003a2c6,0009151b
00073f2c,FE001802
00073f2c,000b2183
00073f2c,0003ad5b
00073f2c,00034d32
00073f2c,0003ad64
00073f2c,00106e18
00073f2c,0005076e
00073f2c,0006bc0a
00073f2c,FE00181A
00073f2c,00106e1c
00073f2c,0003ad6f
00073f2c,0004b0ba
00073f2c,02002a78
00073f20,000e4f0c
00073f20,FE001D6C
00073f20,00106e19
00073f20,0003ad5b
00073f20,FE001828
00073f20,0200b097
00073f20,06059151
00073f20,FE001813
00073f20,0004da24
00073f20,0401cd72
00073f20,020185fb
00073f20,0006bc10
00073f20,0100306D
00073f20,FE00181E
0003eb24,FE001822
0003eb24,0401cd6e
0003eb24,00083e64
0003eb24,050008F1
0003eb24,00106e1a
0003eb24,0100306E
0003eb24,FE00181E
0003eb24,00063b5f
0003eb23,000727e0
0003eb23,000889a2
0003eb23,0006b689
0003eb23,FE00180F
0003eb23,0003f7f8
0003eb1c,FE001D66
0003eb1c,0004da20
0003eb1c,0401cd6f
0003eb1c,0003ad61
0003eb1c,000b08c5
0003eb1c,000854fe
0003eb1c,0003ad70
0003eb1c,0003f7f8
0003eb01,FE001805
0003eb01,000b2183
0003eb01,0003ad64
0003eb01,000e7ebc
0003eb01,050008F2
0003eb01,FE001810
0003eb01,050008F1
0003eb01,FE001814
0003eb01,0401cd72
0003eb01,020185fb
0003eb01,00106e1a
0003eb01,0006f950
0003eb01,04017008
0003eb01,0006bc0e
0003eb01,FE001825
0003eb25,020059ba
0003eb25,000727de
0003eb25,00077e1c
0003eb25,00034cdd
0003eb25,020183b7
0003eb25,FE001807
0003eb25,0003ad5f
0003eb25,0003ad66
0003eb25,00045c28
0003eb25,050008F1
0003eb25,FE00181E
0003eb26,0401cd74
0003eb26,000a9191
0003eb26,FE001806
0003eb26,FE00180B
0003eb26,0003ad63
0003eb26,0003ad73
0003eb26,0007ee01
0003eb26,0002f44c
0003eb26,0006bc0e
0003eb29,020059ba
0003eb29,000727de
0003eb29,020183b7
0003eb29,FE001827
0003eb29,0006b689
0003eb29,0001b3bd
0003eb29,0401cd6d
0003eb29,00063b5f
0003eb29,FE00181F
0003eaf3,FE001836
0003eaf3,0006bc02
0003eaf3,00077e1c
0003eaf3,0401cd6f
0003eaf3,FE00182B
0003eaf3,0003ad64
0003eaf3,0007ee01
0003eaf3,00057f91
0003eaf3,FE001851
0003eaf3,FE00180D
0003eaf3,FE001820
0003eaf3,0004b0ba
0003eaf3,02002a78
0003eb1e,06059155
0003eb1e,FE001D6C
0003eb1e,050008EF
0003eb1e,FE00182C
0003eb1e,0003ad6a
0003eb1e,0006bc04
0003eb1e,0003ad70
0003eb1e,000134aa
0003eb1e,0004da22
0003eb27,06059155
0003eb27,000889a2
0003eb27,000f11c0
0003eb27,050008EE
0003eb27,000ec870
0003eb27,0006f950
0003eb27,0003ad71
0003eb27,FE001821
0003eb1f,0401cd71
0003eb1f,FE001D66
0003eb1f,000a9191
0003eb1f,0403cd8e
0003eb1f,000e7ed0
0003eb1f,000b08c5
0003eb1f,000727df
0003eb1f,0003ad6f
0003eb1f,FE001824
0003eb21,04016e26
0003eb21,0003ad5d
0003eb21,0004da24
0003eb21,00023d6f
